+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                             ;
+-------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; DE2_115_SOPC_inst|DE2_115_SOPC_reset_altpll_audio_domain_synch                                                    ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|DE2_115_SOPC_reset_clk_50_domain_synch                                                          ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|DE2_115_SOPC_reset_altpll_sys_domain_synch                                                      ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_usb|usb                                                                                     ; 46    ; 0              ; 2            ; 0              ; 40     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_usb                                                                                         ; 46    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_usb_hc                                                                                      ; 82    ; 0              ; 18           ; 0              ; 44     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_usb_dc                                                                                      ; 82    ; 0              ; 18           ; 0              ; 44     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_tri_state_bridge_flash_avalon_slave                                                         ; 79    ; 0              ; 4            ; 0              ; 53     ; 0               ; 0             ; 0               ; 8     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_timer                                                                                       ; 23    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_timer_s1                                                                                    ; 70    ; 0              ; 25           ; 0              ; 44     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sysid                                                                                       ; 3     ; 18             ; 1            ; 18             ; 32     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sysid_control_slave                                                                         ; 53    ; 0              ; 9            ; 0              ; 39     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sw                                                                                          ; 42    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sw_s1                                                                                       ; 72    ; 0              ; 23           ; 0              ; 47     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sma_out                                                                                     ; 7     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sma_out_s1                                                                                  ; 66    ; 0              ; 33           ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sma_in                                                                                      ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sma_in_s1                                                                                   ; 34    ; 0              ; 2            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_seg7|seg7_inst                                                                              ; 15    ; 0              ; 0            ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_seg7                                                                                        ; 15    ; 0              ; 0            ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_seg7_avalon_slave                                                                           ; 65    ; 0              ; 36           ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sd_wp_n                                                                                     ; 5     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sd_wp_n_s1                                                                                  ; 22    ; 0              ; 9            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sd_dat                                                                                      ; 10    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 4     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sd_dat_s1                                                                                   ; 57    ; 0              ; 37           ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sd_cmd                                                                                      ; 7     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sd_cmd_s1                                                                                   ; 54    ; 0              ; 40           ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sd_clk                                                                                      ; 7     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_sd_clk_s1                                                                                   ; 54    ; 0              ; 40           ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_rs232|the_rs232_regs                                                                        ; 42    ; 10             ; 3            ; 10             ; 42     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_rs232|the_rs232_rx|the_rs232_rx_stimulus_source                                             ; 15    ; 0              ; 14           ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_rs232|the_rs232_rx                                                                          ; 17    ; 1              ; 0            ; 1              ; 13     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_rs232|the_rs232_tx                                                                          ; 25    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE2_115_SOPC_inst|the_rs232                                                                                       ; 27    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
